city,property_type,area_sqft,bedrooms,bathrooms,age_years,floor,parking,furnished,facing,road_width,location_score,nearby_schools,nearby_hospital,nearby_metro,price
Pune,Commercial,4291,2,2,23,15,3,Semi-Furnished,South-East,98,1.4,8,4,0,70774314
Ahmedabad,Commercial,706,5,1,20,8,0,Unfurnished,South-East,26,4.9,3,3,0,9796728
Delhi,Industrial,1762,2,3,27,26,1,Semi-Furnished,South,54,2.1,9,3,1,33491983
Chennai,Office,2502,2,1,22,23,3,Furnished,South-West,87,4.9,3,1,1,39802543
Mumbai,Villa,3430,1,1,10,28,0,Semi-Furnished,North-East,67,4.9,9,2,2,119591542
Mumbai,Industrial,732,5,3,26,16,0,Unfurnished,North-East,65,5.5,4,0,0,17316096
Chennai,Villa,3152,5,4,0,19,3,Unfurnished,North-West,63,9.0,2,0,0,59512159
Bangalore,Industrial,642,2,4,1,6,0,Furnished,West,96,8.2,9,2,0,14529218
Hyderabad,Office,2284,2,1,16,10,1,Unfurnished,South-East,97,6.7,1,3,1,30310834
Bangalore,Apartment,1832,2,4,4,7,2,Semi-Furnished,South,38,9.0,8,0,0,28376533
Mumbai,Office,2950,3,2,29,6,2,Unfurnished,West,63,7.1,0,1,2,77307133
Mumbai,Office,702,4,3,29,27,3,Furnished,South-East,36,8.4,4,3,2,26164230
Chennai,Villa,4730,3,1,5,18,2,Unfurnished,South,54,6.1,4,4,2,82416048
Pune,Villa,3509,5,2,25,19,0,Semi-Furnished,West,96,5.7,7,2,0,67893665
Bangalore,Office,2586,1,4,24,11,0,Furnished,North-East,40,7.5,5,3,2,55046105
Jaipur,Office,4690,4,2,23,6,1,Semi-Furnished,North-East,45,1.2,5,4,2,44338437
Chennai,Office,1950,1,4,6,7,2,Furnished,South-West,90,7.2,5,1,1,34656424
Ahmedabad,Villa,2192,5,1,27,6,3,Unfurnished,North,70,9.4,3,2,1,26377046
Mumbai,Office,1046,5,2,20,5,0,Furnished,South-West,46,7.4,0,0,0,37271500
Chennai,Office,1112,1,3,29,24,3,Furnished,East,76,1.3,2,0,0,19196356
Bangalore,Farm,4908,1,1,14,8,0,Unfurnished,South-West,45,4.4,9,4,0,42120802
Mumbai,Apartment,937,1,2,18,26,0,Semi-Furnished,South-East,14,8.3,5,3,0,19011188
Hyderabad,House,634,5,2,15,12,1,Unfurnished,North-West,55,9.6,4,1,0,10078760
Chennai,Apartment,2796,2,4,24,6,2,Furnished,West,88,4.3,9,4,1,31947330
Kolkata,Farm,1904,1,1,12,7,1,Unfurnished,North-West,61,8.6,0,1,1,11771684
Mumbai,House,1774,4,1,4,21,2,Furnished,North,58,8.8,4,1,1,53029955
Bangalore,Industrial,4911,5,1,2,16,3,Unfurnished,East,15,2.1,1,1,2,78248161
Delhi,Office,2309,3,1,2,16,2,Unfurnished,West,19,8.6,0,2,2,54240033
Jaipur,Farm,1315,3,4,18,15,3,Semi-Furnished,South,32,3.9,3,4,1,7621850
Surat,Industrial,4358,4,3,13,21,0,Furnished,South-East,26,6.3,5,2,1,37795448
Pune,Office,480,2,1,15,1,3,Semi-Furnished,East,93,5.9,6,3,0,9852280
Surat,Villa,2483,1,4,21,29,3,Furnished,North-East,53,7.0,8,3,1,37852291
Bangalore,Commercial,3088,5,3,16,7,0,Unfurnished,North,50,7.7,4,0,0,61143224
Ahmedabad,Farm,2090,1,3,26,16,3,Furnished,East,24,5.0,7,0,1,12814436
Ahmedabad,Villa,1156,5,4,3,12,3,Semi-Furnished,South-East,53,9.0,7,0,0,19041724
Delhi,Farm,3070,3,1,12,17,0,Semi-Furnished,South-West,67,8.3,8,3,1,33992544
Pune,Farm,4151,1,3,7,23,0,Semi-Furnished,East,95,8.1,2,1,0,34544465
Kolkata,Villa,3952,4,1,18,27,0,Furnished,South-West,59,5.1,2,1,2,59956356
Delhi,House,867,2,1,4,21,2,Semi-Furnished,South-East,61,1.3,8,4,2,20844416
Surat,Apartment,1894,4,2,1,27,0,Semi-Furnished,North-East,79,5.4,6,3,0,14708110
Delhi,Office,1419,2,1,14,9,0,Semi-Furnished,West,77,9.1,3,0,0,37106823
Surat,Farm,1301,1,2,1,1,3,Unfurnished,South,72,2.7,0,3,2,7775778
Mumbai,Office,1072,1,3,10,1,1,Unfurnished,North-East,67,9.8,6,1,1,32433149
Ahmedabad,Commercial,838,2,4,12,26,1,Furnished,South-West,32,8.3,9,1,0,13090674
Mumbai,Villa,4622,3,2,22,13,2,Furnished,South-West,53,7.4,5,2,1,165269195
Jaipur,Office,2476,5,4,9,15,2,Semi-Furnished,South,92,7.1,2,2,2,26597140
Pune,Villa,844,4,3,2,6,1,Unfurnished,West,53,6.3,4,4,2,18602859
Kolkata,Office,1365,4,1,4,20,1,Semi-Furnished,East,61,7.5,2,3,0,18749347
Surat,Apartment,4190,4,3,2,20,0,Semi-Furnished,South,76,4.8,7,2,1,28703045
Kolkata,Apartment,863,1,4,5,23,3,Unfurnished,North,37,8.6,4,2,2,9836533
Surat,Apartment,2598,4,3,12,11,0,Unfurnished,North,76,7.3,9,3,1,18604995
Bangalore,Apartment,2687,5,1,9,27,2,Unfurnished,South-East,87,7.9,9,1,2,37765865
Delhi,Apartment,4165,5,3,18,22,1,Furnished,North-East,27,8.1,5,4,0,71266824
Jaipur,Apartment,3576,2,1,7,27,2,Furnished,South-West,36,1.8,1,4,1,24777473
Ahmedabad,Villa,4408,1,2,17,13,0,Semi-Furnished,West,60,1.5,7,4,1,54559070
Surat,Farm,3904,5,4,2,24,2,Furnished,South-East,69,8.2,8,2,0,23678368
Kolkata,Office,1312,3,1,23,3,2,Unfurnished,North-East,83,3.3,2,1,0,14952368
Jaipur,Apartment,896,1,1,23,25,3,Unfurnished,North-East,58,6.2,5,4,0,7113561
Hyderabad,Villa,1863,1,3,16,3,2,Furnished,South-East,24,5.0,5,3,0,35481890
Hyderabad,Villa,4653,5,2,7,17,0,Semi-Furnished,North-West,92,1.2,1,4,2,75346851
Mumbai,Villa,4667,3,1,9,2,3,Semi-Furnished,North-East,82,1.4,9,0,1,176380318
Ahmedabad,Farm,893,2,2,1,0,2,Furnished,North-West,77,8.4,7,1,2,8169133
Bangalore,Office,1826,5,2,11,16,0,Semi-Furnished,North,24,6.5,4,0,0,36846989
Kolkata,Farm,2092,3,3,22,6,1,Semi-Furnished,North,60,5.7,7,1,2,12747837
Delhi,House,2193,1,1,5,29,3,Semi-Furnished,North-East,57,9.5,7,3,2,46875307
Delhi,Industrial,3123,3,3,1,15,2,Unfurnished,North,81,2.6,2,2,1,54518964
Kolkata,Villa,1058,1,4,20,29,2,Unfurnished,West,10,3.3,4,2,1,14947523
Pune,House,4862,5,4,22,4,3,Furnished,North-West,16,7.8,6,1,1,68314509
Bangalore,Commercial,949,5,1,23,18,0,Unfurnished,North-West,62,8.0,4,4,0,22260940
Jaipur,Apartment,1042,4,2,2,6,2,Semi-Furnished,North-East,40,4.6,5,0,0,8373942
Surat,Industrial,4750,4,1,16,13,0,Unfurnished,North,27,9.6,1,3,1,39573003
Pune,Apartment,607,4,1,28,1,3,Furnished,South,21,9.4,7,4,2,9698600
Surat,Farm,2897,5,4,6,2,2,Unfurnished,South-West,57,1.1,4,2,1,15212375
Surat,Industrial,4590,2,4,28,16,1,Semi-Furnished,South-East,39,2.6,5,4,0,36018712
Pune,Office,2283,5,2,20,15,1,Semi-Furnished,South-East,16,8.4,0,0,2,39499638
Mumbai,House,3286,3,2,4,7,1,Furnished,North-West,12,4.0,9,2,0,86082487
Hyderabad,Office,877,5,1,22,17,3,Unfurnished,North-East,72,1.9,1,1,1,13301456
Surat,Farm,1161,5,3,0,14,2,Unfurnished,North-East,15,8.1,3,3,1,8713392
Pune,Apartment,589,1,1,7,6,3,Unfurnished,West,24,5.1,8,3,2,8992809
Pune,Industrial,1155,1,2,11,26,2,Semi-Furnished,East,80,5.4,5,2,1,16131997
Chennai,Office,1846,1,3,13,8,1,Furnished,South-West,52,2.7,7,1,0,28862606
Mumbai,Office,2063,5,4,15,5,1,Unfurnished,East,90,6.9,1,0,0,59267625
Ahmedabad,Apartment,2235,2,2,9,17,0,Semi-Furnished,North-West,27,6.0,9,3,0,17494559
Chennai,Industrial,4628,3,2,14,17,3,Semi-Furnished,South-East,31,2.9,4,2,2,56349984
Chennai,House,4550,3,3,20,24,3,Semi-Furnished,West,70,4.1,0,3,0,58775525
Kolkata,Apartment,4460,2,2,23,25,0,Unfurnished,West,70,6.4,3,1,1,36299869
Hyderabad,Office,4012,2,2,25,23,1,Unfurnished,West,62,9.3,9,0,2,52469284
Pune,House,2089,3,2,14,13,1,Unfurnished,North-West,35,9.3,0,1,0,28809942
Hyderabad,House,1716,4,2,9,13,3,Unfurnished,East,49,3.6,8,4,0,20333586
Bangalore,Apartment,3586,1,2,20,13,2,Unfurnished,South-East,97,7.6,1,1,1,47896943
Kolkata,Office,4420,1,2,27,24,1,Unfurnished,West,17,8.0,6,1,1,44604437
Ahmedabad,Farm,4754,3,2,6,3,0,Unfurnished,South-East,30,8.3,2,3,2,25242271
Hyderabad,Office,1545,2,2,25,3,0,Unfurnished,North,52,6.1,1,1,0,18209108
Delhi,Villa,4794,4,4,2,14,0,Unfurnished,North-East,30,1.1,3,2,0,129772987
Surat,Industrial,960,3,2,1,14,3,Semi-Furnished,North-East,12,7.9,6,3,1,10725680
Bangalore,Commercial,2312,1,4,5,17,3,Unfurnished,South-East,40,2.0,6,3,2,48586011
Mumbai,Farm,2264,5,4,20,13,3,Furnished,South,36,2.1,8,4,1,35626490
Ahmedabad,House,696,2,1,8,25,3,Semi-Furnished,South,36,6.5,2,2,1,8553055
Bangalore,Farm,2809,5,1,9,0,0,Unfurnished,North-West,82,9.9,6,1,2,27988893
Surat,Industrial,3036,3,4,3,9,0,Furnished,North-West,66,3.2,5,4,0,26641912
Kolkata,House,1861,1,4,26,28,3,Unfurnished,North-East,42,6.8,9,2,0,20141495
Surat,Industrial,4692,4,2,2,19,3,Furnished,North,99,3.7,6,4,0,40313528
Chennai,House,2668,5,1,8,9,0,Furnished,South-West,53,9.1,6,0,2,39874784
Surat,Farm,1394,4,3,23,9,3,Furnished,East,52,6.3,9,1,2,9757040
Chennai,House,407,1,1,21,26,3,Furnished,East,40,2.9,4,4,2,7478853
Kolkata,House,2991,5,4,16,23,3,Semi-Furnished,North-West,74,3.4,8,0,2,34420333
Jaipur,Villa,2915,4,4,13,1,3,Semi-Furnished,North,93,4.9,6,1,2,33567627
Chennai,Office,4815,4,2,9,28,1,Furnished,North-West,85,2.1,6,4,1,76309414
Mumbai,Office,1817,5,2,12,27,3,Unfurnished,South-West,26,1.7,2,4,0,52496640
Surat,Commercial,2716,1,1,11,26,0,Furnished,East,24,7.1,0,4,2,30245449
Surat,Commercial,4332,4,2,26,7,0,Semi-Furnished,South-East,43,4.7,4,4,0,50534912
Mumbai,Villa,1687,3,3,0,0,0,Unfurnished,North-West,89,7.5,7,3,2,55152976
Delhi,Commercial,3244,5,3,27,0,0,Semi-Furnished,West,13,2.0,4,4,0,79261969
Pune,Industrial,1518,2,2,21,3,3,Semi-Furnished,South-East,81,6.5,9,3,1,21652766
Jaipur,Farm,952,2,3,28,6,1,Unfurnished,South-West,98,5.0,2,3,0,5162941
Ahmedabad,Apartment,1060,1,3,18,8,2,Furnished,South-West,88,1.5,8,0,0,9209707
Chennai,Industrial,1115,3,1,18,15,2,Furnished,North-West,37,5.9,1,1,2,15681336
Mumbai,Apartment,3985,4,3,5,4,2,Furnished,North-East,82,1.7,2,3,0,76889979
Kolkata,Apartment,4161,2,4,12,1,2,Furnished,North-West,11,8.4,3,2,1,32751220
Chennai,Villa,2929,1,4,18,27,0,Unfurnished,North-East,26,6.7,9,3,1,49488741
Pune,Industrial,4370,3,1,12,22,3,Unfurnished,South-West,67,6.0,0,2,1,59137081
Kolkata,Villa,3807,3,2,26,10,3,Unfurnished,North,83,2.2,3,0,2,45556806
Bangalore,House,1858,1,1,25,17,2,Semi-Furnished,South-West,18,3.6,3,2,2,34777684
Surat,Apartment,3667,1,2,21,24,2,Unfurnished,East,40,5.4,8,0,2,25707085
Bangalore,Farm,1254,4,2,20,24,1,Furnished,South-East,75,6.7,7,0,2,14280951
Chennai,Commercial,3937,1,2,3,18,1,Semi-Furnished,South-East,97,2.6,1,0,2,58628795
Pune,Farm,2297,4,2,23,12,1,Furnished,South,71,1.1,6,2,1,19139981
Jaipur,Commercial,672,4,2,1,23,0,Furnished,South,28,4.1,5,2,0,9749382
Chennai,Apartment,4487,5,1,14,10,3,Unfurnished,South-West,90,5.3,6,0,1,43256071
Mumbai,Apartment,1672,3,2,11,19,0,Unfurnished,East,83,2.7,3,0,2,32333920
Hyderabad,Apartment,4774,3,3,29,18,0,Furnished,South,64,5.4,4,1,1,44469714
Chennai,Villa,4419,3,3,26,16,3,Furnished,South-East,37,4.0,5,0,0,84638393
Surat,Industrial,1215,5,2,6,4,1,Semi-Furnished,North-West,59,5.1,8,4,2,13268461
Surat,Commercial,4771,4,3,19,12,3,Unfurnished,North,74,4.1,1,1,1,47867792
Chennai,Industrial,1322,4,4,17,29,2,Semi-Furnished,North,12,6.7,8,1,1,17748261
Kolkata,Villa,1664,1,1,22,26,1,Semi-Furnished,East,88,1.4,9,1,0,24481751
Hyderabad,Villa,4124,5,1,12,19,3,Semi-Furnished,South-West,61,2.5,0,4,2,64750242
Mumbai,Office,3187,1,2,16,0,0,Furnished,South,19,4.9,3,1,2,102982167
Chennai,Farm,3122,5,2,3,9,3,Semi-Furnished,North-West,30,4.2,4,1,0,23364740
Kolkata,Farm,4623,1,4,24,7,1,Semi-Furnished,North,46,4.5,8,2,0,26367197
Surat,House,2950,2,2,13,23,2,Furnished,North,24,8.2,5,2,0,30959660
Surat,Villa,3349,3,3,19,28,0,Unfurnished,West,96,9.0,3,0,0,41272243
Pune,Commercial,2073,3,4,27,7,2,Unfurnished,South-West,87,3.2,1,0,2,33930169
Chennai,Office,4987,4,3,12,18,2,Semi-Furnished,West,88,8.5,4,3,2,72683806
Hyderabad,Office,3492,2,1,2,5,0,Furnished,South-East,83,5.1,7,4,1,53112810
Delhi,Industrial,3238,3,3,25,11,3,Unfurnished,North,18,3.5,7,2,1,56071763
Hyderabad,Farm,2066,4,1,25,27,3,Semi-Furnished,East,53,9.9,5,0,1,15331815
Surat,Villa,4911,2,3,17,6,2,Semi-Furnished,North-East,48,8.4,0,4,2,56410179
Surat,House,2595,3,1,13,15,3,Furnished,North-East,14,9.9,7,1,2,28701637
Bangalore,Villa,1784,1,2,14,8,1,Semi-Furnished,North-West,34,2.5,3,4,2,44359796
Surat,Industrial,4803,5,3,2,20,2,Unfurnished,North,65,2.3,1,2,1,37636359
Mumbai,Apartment,4354,2,1,0,24,2,Furnished,North,99,5.5,0,3,0,90200016
Ahmedabad,Villa,3299,4,3,25,21,2,Unfurnished,South-East,73,6.7,6,2,0,39787310
Chennai,Industrial,460,2,4,23,9,1,Unfurnished,North,81,2.5,1,0,0,5907092
Hyderabad,Apartment,4347,4,2,16,9,2,Unfurnished,East,95,8.7,3,0,0,38200729
Ahmedabad,Apartment,2690,2,1,2,9,3,Semi-Furnished,West,61,5.8,3,4,0,20213349
Kolkata,House,872,4,4,13,19,3,Semi-Furnished,North,98,4.7,9,2,2,11540930
Delhi,Commercial,1358,3,3,2,28,3,Unfurnished,North,85,6.4,0,0,1,34330385
Mumbai,Farm,932,1,4,12,15,3,Unfurnished,South-East,18,6.7,1,1,0,14467765
Hyderabad,Villa,893,3,3,14,0,2,Furnished,South-West,19,1.4,0,1,0,15730939
Ahmedabad,Apartment,481,1,2,17,16,1,Furnished,South,19,10.0,5,3,0,5787404
Delhi,Villa,3370,3,4,13,29,0,Semi-Furnished,South-West,82,4.3,2,4,2,87240914
Bangalore,Commercial,411,3,2,20,25,3,Semi-Furnished,South-East,71,1.6,0,0,0,9567545
Mumbai,Farm,4944,2,1,25,20,0,Furnished,South-West,99,8.7,7,3,1,77436530
Mumbai,Commercial,1161,5,3,2,28,0,Unfurnished,South-East,69,9.9,3,1,2,35747132
Bangalore,Farm,3585,4,3,18,13,2,Semi-Furnished,East,28,8.3,9,3,2,38303336
Chennai,Office,425,4,2,7,18,3,Unfurnished,North-West,47,8.7,6,3,2,10100280
Bangalore,Farm,2206,4,2,3,20,3,Furnished,North,15,6.6,9,0,0,22763856
Mumbai,House,4557,1,1,3,20,3,Semi-Furnished,South-East,24,9.3,1,0,0,117617323
Mumbai,Commercial,4724,4,4,18,16,0,Semi-Furnished,South-East,56,1.3,5,0,0,147608431
Ahmedabad,Apartment,4059,4,3,10,13,3,Furnished,South,54,7.9,5,4,0,33066318
Surat,Office,1925,2,3,0,7,3,Semi-Furnished,South-East,14,7.0,6,3,1,22521529
Delhi,House,1160,3,1,7,20,1,Furnished,North-East,87,1.4,0,3,2,26031220
Bangalore,Villa,994,4,1,14,20,2,Semi-Furnished,North-West,62,5.9,0,4,0,25953925
Delhi,Commercial,1455,5,2,0,8,3,Furnished,North,75,5.6,1,1,1,40944473
Bangalore,Industrial,2254,4,2,6,7,3,Semi-Furnished,North,71,7.2,1,2,2,37151124
Kolkata,Industrial,3483,1,4,20,12,2,Unfurnished,South,32,1.7,4,1,2,32881231
Mumbai,Apartment,4316,1,1,19,16,2,Unfurnished,East,53,8.2,0,4,2,84178641
Surat,Farm,4075,1,4,19,18,0,Unfurnished,North,61,2.3,1,3,0,17234718
Ahmedabad,Apartment,2448,4,1,23,27,0,Semi-Furnished,North-East,55,4.8,5,3,2,19720591
Surat,Industrial,1858,2,3,10,6,0,Semi-Furnished,North,28,8.9,2,0,0,17516381
Surat,Villa,1619,5,1,26,16,2,Unfurnished,North-East,97,6.0,3,0,1,21262253
Surat,Office,4628,4,1,28,0,1,Unfurnished,North-West,93,4.4,0,3,2,41299715
Delhi,Office,4581,2,3,13,4,3,Furnished,North-West,56,1.4,4,3,1,121457031
Bangalore,Commercial,1899,2,1,21,24,2,Furnished,West,61,7.1,3,0,0,45962277
Jaipur,Office,2230,4,4,15,5,1,Furnished,West,33,9.9,7,0,0,22653707
Kolkata,Commercial,3795,4,2,13,25,2,Unfurnished,North-East,26,9.2,2,1,0,46067436
Hyderabad,Commercial,1603,2,2,11,1,1,Unfurnished,East,98,7.5,9,3,2,24218316
Surat,Commercial,4670,2,4,16,26,2,Unfurnished,North,55,1.9,0,3,2,44764410
Chennai,Industrial,3210,2,3,13,24,2,Furnished,South-East,73,3.2,9,4,1,44366119
Delhi,Industrial,3492,4,1,9,15,1,Semi-Furnished,North,37,2.7,4,1,0,71235649
Ahmedabad,Farm,3444,2,4,23,21,1,Unfurnished,West,59,4.2,0,2,1,18678762
Hyderabad,House,3914,1,2,28,4,1,Semi-Furnished,South-West,73,3.1,4,2,0,43550781
Jaipur,Commercial,2198,4,2,13,4,1,Semi-Furnished,South-East,37,3.2,8,2,0,21842838
Chennai,Commercial,2975,1,4,17,11,1,Semi-Furnished,North-East,95,6.6,4,0,1,47951619
Jaipur,House,544,3,2,21,2,1,Furnished,South-East,65,3.9,1,2,0,5282268
Hyderabad,Apartment,4326,4,4,8,29,1,Semi-Furnished,South-West,68,7.1,1,4,1,39272737
Surat,Commercial,1777,3,2,16,15,1,Unfurnished,North,14,9.5,9,0,2,18222399
Chennai,Farm,3546,2,4,5,5,2,Furnished,North,63,6.7,8,0,1,29334596
Jaipur,Office,2225,2,1,7,14,1,Unfurnished,East,53,7.8,4,2,1,20813984
Ahmedabad,Office,1193,5,1,25,14,1,Unfurnished,South,51,7.8,7,0,0,14254032
Bangalore,Villa,2001,2,1,12,28,2,Furnished,South-East,81,4.0,9,1,1,52894714
Mumbai,Villa,4814,3,1,17,15,2,Unfurnished,West,66,1.1,3,1,2,149918360
Bangalore,Office,1510,2,2,4,19,0,Unfurnished,South-West,56,1.5,1,2,2,29760370
Hyderabad,Office,4453,4,3,5,12,0,Furnished,South-West,85,3.5,3,4,2,62373987
Delhi,Industrial,4337,2,4,20,11,1,Unfurnished,South-West,34,7.2,3,0,2,81361194
Mumbai,Farm,4363,5,3,18,9,1,Semi-Furnished,West,53,9.2,8,3,1,58549482
Kolkata,House,1182,2,2,3,13,0,Unfurnished,South,24,9.6,9,2,2,14028541
Ahmedabad,Villa,1516,3,2,6,1,0,Semi-Furnished,North,60,1.2,5,0,1,19161134
Kolkata,Industrial,2150,3,3,3,28,3,Unfurnished,East,62,9.9,9,2,1,21550469
Chennai,Industrial,2976,2,3,24,2,3,Furnished,East,43,3.9,5,2,0,38239313
Mumbai,House,4427,3,2,10,8,1,Furnished,West,86,8.6,4,4,1,114740625
Kolkata,Industrial,3736,3,2,11,10,3,Unfurnished,East,17,2.6,5,3,1,33331292
Kolkata,Farm,4787,5,4,13,10,0,Furnished,South-West,86,1.6,0,0,0,29311713
Jaipur,Office,1887,4,1,12,24,1,Unfurnished,North-West,79,4.4,4,2,2,18355525
Bangalore,Commercial,4275,5,1,28,21,2,Furnished,South,30,8.7,5,2,2,86749143
Jaipur,House,4031,1,4,9,9,2,Semi-Furnished,North,16,3.0,7,0,1,34307924
Mumbai,Office,4592,5,3,17,25,0,Unfurnished,North-West,99,2.4,3,2,0,128033126
Mumbai,Office,4358,2,2,15,13,3,Semi-Furnished,South,88,9.2,4,2,1,128484335
Hyderabad,Apartment,3797,4,3,4,8,2,Semi-Furnished,North-East,65,9.4,3,2,1,35265802
Jaipur,House,473,2,1,7,19,3,Unfurnished,South-East,58,1.1,6,1,2,6229688
Pune,Industrial,1759,1,1,13,26,2,Semi-Furnished,West,51,7.5,9,1,0,25966673
Bangalore,Commercial,1491,4,3,4,20,3,Unfurnished,South-West,32,3.8,5,3,1,33762997
Mumbai,House,2341,3,1,25,9,2,Semi-Furnished,East,61,4.4,3,4,2,60373806
Hyderabad,Industrial,3548,5,2,27,21,2,Unfurnished,North-East,88,5.2,5,0,1,34092022
Jaipur,Office,4703,2,4,23,28,1,Unfurnished,East,62,4.8,3,4,2,42381288
Bangalore,Commercial,1644,1,3,7,8,1,Furnished,North-West,25,5.6,7,4,0,38988987
Jaipur,Industrial,1685,3,2,24,28,0,Unfurnished,North,46,6.2,2,1,1,12838863
Kolkata,Farm,4905,5,2,25,4,2,Unfurnished,North,27,5.2,7,3,0,24870715
Hyderabad,Industrial,3436,3,1,5,7,3,Semi-Furnished,North,29,7.3,1,4,2,38985427
Bangalore,Apartment,1170,5,2,15,10,2,Unfurnished,South-West,55,7.5,5,4,0,16995311
Surat,Office,2243,4,3,27,0,3,Furnished,East,11,5.0,7,2,0,24247664
Chennai,Industrial,473,3,2,3,20,3,Semi-Furnished,North-East,96,2.3,0,0,0,8548485
Chennai,Villa,2060,3,4,11,9,2,Semi-Furnished,North,72,6.8,5,3,1,39514272
Bangalore,Villa,4749,3,2,10,0,3,Furnished,North-East,12,8.0,8,0,2,123603565
Jaipur,Apartment,1219,4,2,2,25,0,Semi-Furnished,East,55,6.7,9,1,0,11139385
Hyderabad,Farm,4218,1,4,11,29,1,Semi-Furnished,South-West,58,6.3,9,4,1,28642291
Chennai,Office,731,5,2,29,21,3,Semi-Furnished,North-West,10,3.1,1,4,2,12230630
Hyderabad,House,1821,3,2,4,6,2,Semi-Furnished,South-West,31,6.8,0,0,2,22297344
Chennai,Apartment,4055,4,1,5,27,1,Furnished,North-East,23,4.0,1,1,2,46672008
Kolkata,Farm,2091,1,3,18,13,0,Furnished,South-West,94,9.3,4,2,0,14435102
Jaipur,House,4950,5,1,17,4,3,Semi-Furnished,South-West,54,6.9,5,2,0,40582993
Kolkata,Villa,4808,4,3,15,16,3,Semi-Furnished,North-West,15,3.5,0,4,0,62066240
Chennai,Villa,627,5,4,22,21,1,Furnished,East,74,5.3,6,4,2,15761964
Surat,House,3281,3,4,10,25,3,Furnished,East,30,8.6,3,3,2,33451474
Surat,Apartment,3265,1,4,4,20,2,Furnished,West,13,4.0,8,0,0,25640232
Kolkata,Villa,2975,4,3,8,5,1,Semi-Furnished,South-West,12,5.7,5,4,0,40107370
Surat,Office,4922,1,3,2,15,1,Semi-Furnished,East,39,7.1,8,1,2,54753525
Chennai,Commercial,864,3,3,29,10,3,Unfurnished,East,40,7.8,0,0,2,14792415
Bangalore,Industrial,677,1,4,7,9,0,Furnished,South,43,2.6,3,3,1,12754168
Kolkata,House,4514,1,3,5,14,0,Semi-Furnished,North,92,6.1,1,2,1,47162361
Delhi,House,465,2,2,3,6,0,Furnished,West,29,9.2,5,3,0,12908478
Jaipur,Villa,4662,1,1,11,22,0,Semi-Furnished,South-East,96,9.7,3,0,2,53191028
Surat,Apartment,802,5,4,11,1,1,Furnished,West,63,6.9,8,2,2,8622467
Surat,Office,4383,4,1,24,11,1,Semi-Furnished,West,34,9.9,2,1,1,46233041
Mumbai,Apartment,4904,2,2,20,18,3,Unfurnished,South-East,24,6.1,0,2,2,89093800
Pune,Farm,3878,4,3,15,11,0,Unfurnished,South,47,5.0,0,2,0,28947686
Kolkata,Farm,3844,4,1,9,15,0,Furnished,South-West,32,6.0,8,1,1,21706157
Ahmedabad,Commercial,4819,3,2,21,5,3,Semi-Furnished,North-West,61,2.0,8,4,2,53624696
Surat,Villa,3439,3,2,13,2,3,Semi-Furnished,East,75,4.6,4,4,2,40859215
Jaipur,Villa,1837,2,1,12,1,3,Furnished,North,66,5.1,1,2,0,23108414
Delhi,Villa,828,3,4,8,19,2,Semi-Furnished,North-East,66,8.6,8,2,2,25472214
Surat,Commercial,3082,3,1,6,4,3,Furnished,South-West,88,7.8,7,3,1,34455160
Delhi,Farm,3177,3,4,11,10,3,Semi-Furnished,South-East,61,6.4,9,4,1,36668008
Chennai,Apartment,3778,4,3,4,25,2,Furnished,North-West,44,4.1,9,1,2,42478660
Chennai,Commercial,792,2,4,17,24,0,Semi-Furnished,South-West,83,2.7,5,2,2,13947750
Pune,Commercial,4941,4,3,3,2,1,Furnished,South-East,23,4.1,6,2,2,94275180
Bangalore,Apartment,741,5,1,1,2,0,Semi-Furnished,East,23,7.1,5,3,2,11584987
Ahmedabad,Villa,532,4,3,2,21,1,Unfurnished,South,42,3.4,4,3,1,9758013
Mumbai,Office,664,5,2,25,4,1,Semi-Furnished,South-West,61,4.8,3,3,0,20272398
Pune,Apartment,4588,1,3,11,21,3,Furnished,South-East,10,4.5,6,0,1,54380358
Hyderabad,Farm,2085,1,4,2,22,3,Unfurnished,East,43,7.9,3,1,2,16255182
Mumbai,House,1834,5,4,3,10,2,Semi-Furnished,East,28,9.0,9,0,2,48126526
Kolkata,House,2060,5,4,5,2,0,Unfurnished,South,33,7.3,9,2,1,22412151
Jaipur,Industrial,4217,4,3,11,12,0,Semi-Furnished,West,13,4.1,9,3,1,31597853
Hyderabad,Industrial,2754,5,4,18,20,1,Unfurnished,South-West,45,4.9,8,3,2,34694375
Hyderabad,Commercial,665,2,4,9,7,3,Furnished,South-West,86,2.3,4,3,1,12614502
Pune,House,1536,1,2,29,19,3,Semi-Furnished,West,67,2.5,7,4,2,21608495
Bangalore,Office,4949,1,3,0,9,0,Semi-Furnished,North,41,2.5,5,1,1,103884318
Pune,Villa,1790,5,2,16,1,2,Furnished,North,18,2.2,3,0,2,40984386
Kolkata,Farm,1512,3,4,15,3,3,Unfurnished,West,89,2.6,2,1,1,9535187
Surat,Industrial,2634,3,4,8,17,2,Furnished,North-West,76,2.8,5,3,2,24560465
Surat,Office,3266,5,4,24,18,0,Furnished,North-East,29,2.0,0,2,0,32817119
Bangalore,Farm,3468,2,3,20,3,0,Unfurnished,East,83,6.8,1,4,0,31387639
Kolkata,Farm,2579,3,1,8,19,2,Furnished,North-East,71,9.9,6,1,1,17607507
Bangalore,Villa,1034,5,4,26,25,3,Semi-Furnished,East,67,8.9,3,2,0,25554993
